cinema_id,multiplex_id,area_id,cinema_name,cinema_addr
CG11001,1,11,강남,서울특별시 강남구 역삼동 814-6 스타플렉스 6층
CG11002,1,11,강변,서울특별시 광진구 구의동 546-4 테크노마트10층
CG11003,1,11,건대입구,서울특별시 광진구 자양동 9-4 몰오브케이
CG11004,1,11,고덕강일,서울특별시 강동구 고덕동 353-23
CG11005,1,11,구로,서울특별시 구로구 구로동 573 애경백화점 6층
CG11006,1,11,대학로,서울특별시 종로구 명륜2가 41-9 대학로CGV 2층
CG11007,1,11,동대문,서울특별시 중구 을지로6가 17-2 현대시티타워
CG11008,1,11,등촌,서울특별시 강서구 등촌동 639-23 3~9층
CG11009,1,11,명동,서울특별시 중구 명동2가 83-5 Noon Square
CG11010,1,11,명동역씨네라이브러리,서울특별시 중구 충무로2가 65-9
CG11011,1,11,미아점,서울특별시 강북구 미아동 35-4 트레지오 쇼핑몰 9층
CG11012,1,11,방학,서울특별시 도봉구 방학동 707-6
CG11013,1,11,불광,서울특별시 은평구 대조동 240번지 팜스퀘어
CG11014,1,11,상봉,서울특별시 중랑구 상봉동 501
CG11015,1,11,성신여대입구,서울특별시 성북구 동선동1가 1-2 유타몰 12층
CG11016,1,11,송파,서울특별시 송파구 문정동 516 가든파이브라이프영관 10층
CG11017,1,11,수유,서울특별시 강북구 수유동 168-12
CG11018,1,11,신촌아트레온,서울특별시 서대문구 창천동 20-25
CG11019,1,11,압구정,서울특별시 강남구 신사동 603-2
CG11020,1,11,여의도,서울특별시 영등포구 여의도동 23
CG11021,1,11,연남,서울특별시 마포구 동교동 167-2 LC TOWER
CG11022,1,11,영등포,서울특별시 영등포구 영등포동4가 442
CG11023,1,11,왕십리,서울특별시 성동구 행당동 168-151 왕십리민자역사
CG11024,1,11,용산아이파크몰,서울특별시 용산구 한강로3가 40-961
CG11025,1,11,중계,서울특별시 노원구 중계동 509-2 홈플러스
CG11026,1,11,천호,서울특별시 강동구 천호동 42
CG11027,1,11,청담씨네시티,서울특별시 강남구 신사동 651-21
CG11028,1,11,피카디리1958,서울특별시 종로구 돈의동 137 피카디리플러스
CG11029,1,11,하계,서울특별시 노원구 중계동 506-1
CG11030,1,11,홍대,서울특별시 마포구 동교동 159-8
CG12001,1,12,경기광주점,경기도 광주시 역동 16-1
CG12002,1,12,고양백석,경기도 고양시 일산동구 백석동 1242 고양종합터미날  5층
CG12003,1,12,고양행신,"경기도 고양시 덕양구 행신동 762-2 로터스플레이스 5,6층"
CG12004,1,12,광교,경기도 수원시 영통구 하동 1017-2 갤러리아 광교
CG12005,1,12,광교상현,경기도 용인시 수지구 상현동 1116-4번지
CG12006,1,12,광명역,경기도 광명시 일직동 514
CG12007,1,12,구리,경기도 구리시 인창동 676-2 CGV구리
CG12008,1,12,구리갈매,경기도 구리시 갈매동 552-4
CG12009,1,12,기흥,경기도 용인시 기흥구 구갈동 679
CG12010,1,12,김포,경기도 김포시 풍무동 202-1
CG12011,1,12,김포운양,경기도 김포시 운양동 1296-9 8층~9층
CG12012,1,12,김포한강,경기도 김포시 걸포동 1574-3번지
CG12013,1,12,남양주화도,경기도 남양주시 화도읍 녹촌리 46-23
CG12014,1,12,다산,경기도 남양주시 다산동 6143
CG12015,1,12,동두천,경기도 동두천시 생연동 364-1
CG12016,1,12,동백,경기도 용인시 기흥구 중동 833번지 쥬네브썬월드빌딩 7001호
CG12017,1,12,동수원,경기도 수원시 팔달구 인계동 1113-11 7층~10층동
CG12018,1,12,동탄,경기도 화성시 반송동 96 메타폴리스 A동
CG12019,1,12,동탄그랑파사쥬,"경기도 화성시 송동 725-1 더샵 동탄센텀폴리스 1,2단지"
CG12020,1,12,동탄역,경기도 화성시 오산동 967-150
CG12021,1,12,동탄호수공원,경기도 화성시 송동 694
CG12022,1,12,문산점,경기도 파주시 문산읍 당동리 892
CG12023,1,12,배곧,경기도 시흥시 정왕동 1771-1 서영베니스스퀘어
CG12024,1,12,범계,경기도 안양시 동안구 호계동 1039-3 뉴코아아울렛 11층
CG12025,1,12,부천,경기도 부천시 원미구 중동
CG12026,1,12,부천역,경기도 부천시 원미구 심곡동 383-1 씨네마홀 8층
CG12027,1,12,북수원,경기도 수원시 장안구 조원동 893 아일렛 4층
CG12028,1,12,산본,경기도 군포시 산본동 1142-2 4층
CG12029,1,12,서현,경기도 성남시 분당구 서현동 256
CG12030,1,12,소풍,"경기도 부천시 원미구 상동 539-1 소풍 6,7,8층"
CG12031,1,12,스타필드시티위례,경기도 하남시 학암동 660 스타필드시티 위례점
CG12032,1,12,시흥,경기도 시흥시 대야동 568-1 7층
CG12033,1,12,신세계경기,경기도 용인시 수지구 죽전동 1285 (주)신세계 사우스시티
CG12034,1,12,안산,경기도 안산시 단원구 고잔동 725-1
CG12035,1,12,안성,경기도 안성시 석정동 139-1
CG12036,1,12,야탑,경기도 성남시 분당구 야탑동 341 테마폴리스 지하2층
CG12037,1,12,양주옥정,경기도 양주시 옥정동 963-12
CG12038,1,12,역곡,경기도 부천시 소사구 괴안동 113-1 역곡하이뷰 6~8층
CG12039,1,12,오리,경기도 성남시 분당구 구미동 159 분당월드유통센타4층
CG12040,1,12,오산,경기도 오산시 원동 763-21번지
CG12041,1,12,오산중앙,경기도 오산시 원동 335-10
CG12042,1,12,용인,경기도 용인시 처인구 김량장동 301-3번지 시네마일번가 5~8층
CG12043,1,12,의정부,경기도 의정부시 의정부동 168-54 신세계백화점 10층
CG12044,1,12,의정부태흥,경기도 의정부시 의정부동 494 외 6필지
CG12045,1,12,이천,경기도 이천시 중리동 201-1번지
CG12046,1,12,일산,"경기도 고양시 일산동구 장항동 867외1필지 지상 3,4,5,6층"
CG12047,1,12,파주야당,경기도 파주시 야당동 1066
CG12048,1,12,판교,경기도 성남시 분당구 백현동 541
CG12049,1,12,평촌,경기도 안양시 동안구 관양동 1606 평촌주공공이 9층
