screen_id,multiplex_id,screen_name,cinema_id
CG11001001,1,1관,CG11001
CG11001002,1,2관,CG11001
CG11001003,1,3관,CG11001
CG11001004,1,4관,CG11001
CG11001005,1,5관,CG11001
CG11001006,1,6관,CG11001
CG11002001,1,10관,CG11002
CG11002002,1,1관(4DX),CG11002
CG11002003,1,4관(CGV아트하우스),CG11002
CG11002004,1,5관,CG11002
CG11002005,1,6관,CG11002
CG11002006,1,7관,CG11002
CG11002007,1,8관,CG11002
CG11002008,1,9관,CG11002
CG11002009,1,CINE&FORET,CG11002
CG11002010,1,STAR2관,CG11002
CG11002011,1,STAR3관,CG11002
CG11003001,1,1관,CG11003
CG11003002,1,2관,CG11003
CG11003003,1,3관,CG11003
CG11003004,1,4관,CG11003
CG11003005,1,5관,CG11003
CG11004001,1,2관,CG11004
CG11004002,1,3관,CG11004
CG11004003,1,4관,CG11004
CG11004004,1,4DX관,CG11004
CG11004005,1,5관,CG11004
CG11004006,1,7관,CG11004
CG11004007,1,8관,CG11004
CG11004008,1,SCREENX관,CG11004
CG11005001,1,10관,CG11005
CG11005002,1,1관,CG11005
CG11005003,1,2관,CG11005
CG11005004,1,5관,CG11005
CG11005005,1,6관,CG11005
CG11005006,1,7관,CG11005
CG11005007,1,8관,CG11005
CG11005008,1,9관,CG11005
CG11006001,1,1관,CG11006
CG11006002,1,2관,CG11006
CG11006003,1,3관,CG11006
CG11006004,1,4관,CG11006
CG11006005,1,5관(CGV아트하우스),CG11006
CG11006006,1,6관,CG11006
CG11006007,1,7관,CG11006
CG11006008,1,8관,CG11006
CG11007001,1,1관,CG11007
CG11007002,1,2관,CG11007
CG11007003,1,3관,CG11007
CG11007004,1,4관,CG11007
CG11007005,1,5관,CG11007
CG11007006,1,6관,CG11007
CG11008001,1,1관,CG11008
CG11008002,1,2관,CG11008
CG11008003,1,3관,CG11008
CG11008004,1,4관,CG11008
CG11008005,1,5관,CG11008
CG11008006,1,6관,CG11008
CG11009001,1,1관,CG11009
CG11009002,1,2관,CG11009
CG11009003,1,3관,CG11009
CG11009004,1,4관,CG11009
CG11009005,1,5관,CG11009
CG11010001,1,3관,CG11010
CG11010002,1,4관,CG11010
CG11010003,1,5관,CG11010
CG11010004,1,1관(ART),CG11010
CG11010005,1,2관(ART),CG11010
CG11011001,1,1관,CG11011
CG11011002,1,2관,CG11011
CG11011003,1,3관,CG11011
CG11011004,1,4관,CG11011
CG11011005,1,5관,CG11011
CG11011006,1,6관,CG11011
CG11012001,1,2관,CG11012
CG11012002,1,3관,CG11012
CG11012003,1,4관,CG11012
CG11012004,1,4DX관,CG11012
CG11012005,1,5관,CG11012
CG11012006,1,6관,CG11012
CG11012007,1,7관,CG11012
CG11013001,1,1관,CG11013
CG11013002,1,2관,CG11013
CG11013003,1,3관,CG11013
CG11013004,1,4관,CG11013
CG11013005,1,5관,CG11013
CG11013006,1,6관,CG11013
CG11013007,1,7관,CG11013
CG11013008,1,8관,CG11013
CG11013009,1,9관,CG11013
CG11014001,1,1관,CG11014
CG11014002,1,2관,CG11014
CG11014003,1,3관,CG11014
CG11014004,1,4관,CG11014
CG11014005,1,5관,CG11014
CG11014006,1,6관,CG11014
CG11014007,1,7관,CG11014
CG11015001,1,1관,CG11015
CG11015002,1,2관,CG11015
CG11015003,1,3관,CG11015
CG11015004,1,4관,CG11015
CG11015005,1,5관,CG11015
CG11016001,1,1관,CG11016
CG11016002,1,2관,CG11016
CG11016003,1,3관,CG11016
CG11016004,1,4관,CG11016
CG11016005,1,4DX관,CG11016
CG11016006,1,6관,CG11016
CG11016007,1,SPHEREX,CG11016
CG11017001,1,1관,CG11017
CG11017002,1,2관,CG11017
CG11017003,1,3관,CG11017
CG11017004,1,4관,CG11017
CG11017005,1,5관,CG11017
CG11017006,1,6관,CG11017
CG11017007,1,7관,CG11017
CG11017008,1,8관,CG11017
CG11017009,1,9관,CG11017
CG11018001,1,10관(CGV아트하우스),CG11018
CG11018002,1,2관,CG11018
CG11018003,1,3관,CG11018
CG11018004,1,4관,CG11018
CG11018005,1,5관,CG11018
CG11018006,1,6관,CG11018
CG11018007,1,7관,CG11018
CG11019001,1,2관,CG11019
CG11019002,1,3관,CG11019
CG11019003,1,4관,CG11019
CG11019004,1,1관(ART),CG11019
CG11019005,1,2관(ART),CG11019
CG11019006,1,IMAX관,CG11019
CG11020001,1,1관,CG11020
CG11020002,1,2관,CG11020
CG11020003,1,3관(VeatBox관),CG11020
CG11020004,1,4관(COMFORTSEAT),CG11020
CG11020005,1,5관(CGV아트하우스),CG11020
CG11020006,1,6관,CG11020
CG11020007,1,7관(TEMPURCINEMA관),CG11020
CG11020008,1,8관(COMFORTSEAT),CG11020
CG11020009,1,9관,CG11020
CG11021001,1,1관(4DX),CG11021
CG11021002,1,2관,CG11021
CG11021003,1,3관(Suite Cinema),CG11021
CG11021004,1,4관,CG11021
CG11021005,1,5관,CG11021
CG11021006,1,6관,CG11021
CG11022001,1,10관(골드클래스),CG11022
CG11022002,1,11관(SCREENX),CG11022
CG11022003,1,12관(IMAX),CG11022
CG11022004,1,1관,CG11022
CG11022005,1,2관(4D),CG11022
CG11022006,1,3관,CG11022
CG11022007,1,4관,CG11022
CG11022008,1,5관,CG11022
CG11022009,1,6관,CG11022
CG11022010,1,7관,CG11022
CG11022011,1,8관,CG11022
CG11022012,1,9관,CG11022
CG11023001,1,10관,CG11023
CG11023002,1,1관,CG11023
CG11023003,1,2관,CG11023
CG11023004,1,3관,CG11023
CG11023005,1,4관,CG11023
CG11023006,1,5관,CG11023
CG11023007,1,6관,CG11023
CG11023008,1,7관,CG11023
CG11023009,1,8관,CG11023
CG11023010,1,9관,CG11023
CG11024001,1,10관,CG11024
CG11024002,1,11관,CG11024
CG11024003,1,12관,CG11024
CG11024004,1,13관,CG11024
CG11024005,1,14관,CG11024
CG11024006,1,15관,CG11024
CG11024007,1,16관,CG11024
CG11024008,1,17관,CG11024
CG11024009,1,18관,CG11024
CG11024010,1,19관,CG11024
CG11024011,1,1관,CG11024
CG11024012,1,20관,CG11024
CG11024013,1,2관,CG11024
CG11024014,1,3관,CG11024
CG11024015,1,4관,CG11024
CG11024016,1,5관,CG11024
CG11024017,1,6관,CG11024
CG11024018,1,7관,CG11024
CG11024019,1,8관,CG11024
CG11024020,1,9관,CG11024
CG11025001,1,1관,CG11025
CG11025002,1,2관,CG11025
CG11025003,1,3관,CG11025
CG11025004,1,4관,CG11025
CG11025005,1,5관,CG11025
CG11025006,1,6관,CG11025
CG11025007,1,7관,CG11025
CG11026001,1,1관,CG11026
CG11026002,1,2관,CG11026
CG11026003,1,3관,CG11026
CG11026004,1,4관,CG11026
CG11026005,1,5관,CG11026
CG11026006,1,6관,CG11026
CG11027001,1,1관(HEADPHONE),CG11027
CG11027002,1,2관(HEADPHONE),CG11027
CG11027003,1,3관(COMFORT SWEETBOX PREMIUM),CG11027
CG11027004,1,4DX관,CG11027
CG11027005,1,CINEMA SWEETBOX PREMIUM관,CG11027
CG11028001,1,1관,CG11028
CG11028002,1,2관,CG11028
CG11028003,1,4관,CG11028
CG11028004,1,5관,CG11028
CG11028005,1,6관,CG11028
CG11029001,1,1관,CG11029
CG11029002,1,2관,CG11029
CG11029003,1,3관,CG11029
CG11029004,1,4관,CG11029
CG11030001,1,1관,CG11030
CG11030002,1,2관,CG11030
CG11030003,1,3관,CG11030
CG11030004,1,4관,CG11030
CG11030005,1,5관,CG11030
CG11030006,1,6관,CG11030
CG12001001,1,1관,CG12001
CG12001002,1,2관,CG12001
CG12001003,1,3관,CG12001
CG12001004,1,4관,CG12001
CG12001005,1,5관,CG12001
CG12001006,1,6관,CG12001
CG12001007,1,7관,CG12001
CG12001008,1,8관,CG12001
CG12002001,1,1관,CG12002
CG12002002,1,2관,CG12002
CG12002003,1,3관,CG12002
CG12002004,1,4관,CG12002
CG12002005,1,5관,CG12002
CG12002006,1,6관,CG12002
CG12002007,1,7관,CG12002
CG12003001,1,1관,CG12003
CG12003002,1,2관,CG12003
CG12003003,1,3관,CG12003
CG12003004,1,4관,CG12003
CG12003005,1,5관,CG12003
CG12003006,1,6관,CG12003
CG12004001,1,1관,CG12004
CG12004002,1,2관,CG12004
CG12004003,1,3관,CG12004
CG12004004,1,4관,CG12004
CG12004005,1,5관,CG12004
CG12004006,1,6관,CG12004
CG12005001,1,1관,CG12005
CG12005002,1,2관,CG12005
CG12005003,1,3관,CG12005
CG12005004,1,4관,CG12005
CG12006001,1,1관,CG12006
CG12006002,1,2관,CG12006
CG12006003,1,3관,CG12006
CG12006004,1,4관,CG12006
CG12006005,1,5관,CG12006
CG12007001,1,1관,CG12007
